start,duration
3691749,9487
7691714,7144
8203010,11086
11691688,5397
12009159,11124
15691712,5421
15807903,11005
19691702,5475
23691705,13105
27691713,4757
31691694,5749
35691696,4984
39691699,42540
43691697,4323
47691709,4561
51691710,5416
55691708,3408
59691682,5040
63691696,2928
67691677,10114
71578603,2830
71691744,3176
75691683,2613
79691697,2447
83691680,2713
87691679,2740
91691699,2473
95691678,2538
99691708,2651
103691691,2773
107691696,2620
110146151,20723
111691702,5045
115691692,6602
119691722,7137
123691676,4377
127691707,3441
131691692,4732
134774667,15947
135655305,6421
135691700,4675
139691697,3812
143691702,3410
147691684,3832
151691700,3333
155691685,3155
159691687,3543
163691681,3050
167691676,3161
171691677,2913
175691692,10963
179691695,5813
183691700,2901
187691692,3082
191691678,2864
195338580,27101
195691738,3600
199691701,3465
203691677,3689
207691703,3428
211691678,2958
215691689,2763
219691693,2943
223691685,2731
227691672,2753
231691690,3710
235691689,2738
239691698,4137
243691677,2839
247691694,2860
251691702,2862
255691687,2692
259691688,2473
263691685,2591
267143637,3112
267691704,2899
271691698,2679
275691683,2467
279691696,2440
283691688,2724
287691703,2603
291691681,2467
295691695,2446
299691676,3604
303691683,2483
307691691,2710
311691693,2452
315691697,2460
319691692,3346
323691699,2786
327691690,3375
331691705,2737
335691692,2457
339691685,2621
343691688,2443
347691677,2455
351691687,3230
355691706,2914
359691682,3484
363691683,2730
367691682,2480
371691700,2433
375691677,2470
379691671,2481
383691669,2491
387691677,2704
391691674,2487
395691685,2678
399691687,2949
403691704,2432
407691712,2451
411691677,2497
415691701,2469
419691685,3549
423691690,2753
427691681,2663
431691698,3442
435691673,2730
439691695,2623
443691693,2441
447691681,2632
451691678,3354
455691699,2479
459691703,2435
463691685,2562
467691686,2626
471691689,2450
475691692,2504
479691689,3673
483691678,2722
487691695,2456
491691673,3425
495691694,2556
499691691,2470
503691678,2497
507691698,2490
511691681,2451
515691680,2908
519691680,14278
523691678,3959
527691676,2888
531691694,2899
535691685,2753
539691706,3975
543691693,2493
547691675,2444
551691670,3314
555691718,3647
559691695,2729
563691673,2543
567691677,2416
571691678,2657
575691688,2598
579691694,2424
583691682,3257
587691725,2823
591691701,2629
595691676,2447
599691678,3381
603691695,2532
607691695,2454
